2025-06-28T20:27:37.114853 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:27:37.114952 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:27:37.115042 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:27:37.115130 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:27:37.115216 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:27:37.115300 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:27:37.115386 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:27:37.115469 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:27:37.115550 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:27:37.115632 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:27:37.115718 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:27:37.115825 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:27:37.115915 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:27:37.115997 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:27:37.116082 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:27:37.116165 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:27:37.116248 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:27:37.116327 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:27:37.116408 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
